═══════════════════════════════════════════════════════════════
          NODE BONDING KEY DISCOVERY GAME - RUN LOG
═══════════════════════════════════════════════════════════════

📋 HIGH INTENSITY GAME RULES:
───────────────────────────────────────────────────────────────
1. Multiple yellow nodes spawn every 2 seconds at random positions
2. Each node appears with a zoom animation (0 to full size)
3. Nodes remain still for 0.5 seconds after spawning
4. After the pause, nodes begin moving with HIGH random velocity
5. Nodes bounce off canvas boundaries
6. When two yellow nodes collide, they bond together
7. Bonded nodes turn green and generate a random code (1-1000)
8. Green bonded pairs remain stationary
9. Bonded pairs dissipate together after 5 seconds
10. A target key (1-1000) is randomly generated at game start
11. The game ends when a bonded pair generates the target key
───────────────────────────────────────────────────────────────

📊 RUN STATISTICS:
───────────────────────────────────────────────────────────────
Run Date: 02/10/2025, 14:55:26
Target Key: 209
Total Time: 1005 seconds
Total Bonds Created: 375
Total Nodes Spawned: 787
Success Rate: 1/375 (0.27%)
───────────────────────────────────────────────────────────────

📝 DETAILED EVENT LOG:
───────────────────────────────────────────────────────────────
[14:38:41] Game started! Target key: 209
[14:38:41] Yellow node spawned at (511, 409)
[14:38:41] Yellow node spawned at (430, 538)
[14:38:41] Yellow node spawned at (709, 132)
[14:38:43] Yellow node spawned at (641, 42)
[14:38:43] Yellow node spawned at (43, 62)
[14:38:43] Yellow node spawned at (764, 434)
[14:38:44] Nodes bonded! Generated code: 813
[14:38:45] Yellow node spawned at (72, 445)
[14:38:45] Yellow node spawned at (511, 532)
[14:38:45] Yellow node spawned at (631, 304)
[14:38:47] Yellow node spawned at (746, 263)
[14:38:47] Yellow node spawned at (74, 317)
[14:38:47] Yellow node spawned at (591, 177)
[14:38:50] Yellow node spawned at (561, 353)
[14:38:50] Yellow node spawned at (527, 186)
[14:38:50] Yellow node spawned at (682, 292)
[14:38:50] Nodes bonded! Generated code: 257
[14:38:50] Green node dissipated (code: 813)
[14:38:50] Green node dissipated (code: 813)
[14:38:52] Yellow node spawned at (169, 569)
[14:38:52] Yellow node spawned at (178, 266)
[14:38:52] Yellow node spawned at (78, 138)
[14:38:54] Yellow node spawned at (264, 40)
[14:38:54] Yellow node spawned at (167, 90)
[14:38:54] Yellow node spawned at (722, 492)
[14:38:56] Yellow node spawned at (355, 159)
[14:38:56] Yellow node spawned at (436, 51)
[14:38:56] Yellow node spawned at (741, 265)
[14:38:58] Yellow node spawned at (370, 460)
[14:38:58] Yellow node spawned at (752, 406)
[14:38:58] Yellow node spawned at (666, 413)
[14:39:00] Yellow node spawned at (221, 567)
[14:39:00] Yellow node spawned at (304, 470)
[14:39:00] Yellow node spawned at (502, 462)
[14:39:02] Yellow node spawned at (270, 85)
[14:39:02] Yellow node spawned at (576, 248)
[14:39:02] Yellow node spawned at (32, 278)
[14:39:04] Yellow node spawned at (156, 287)
[14:39:04] Yellow node spawned at (669, 397)
[14:39:04] Yellow node spawned at (400, 42)
[14:39:06] Yellow node spawned at (666, 538)
[14:39:06] Yellow node spawned at (615, 342)
[14:39:06] Yellow node spawned at (282, 180)
[14:39:08] Yellow node spawned at (634, 327)
[14:39:08] Yellow node spawned at (43, 154)
[14:39:08] Yellow node spawned at (551, 356)
[14:39:10] Yellow node spawned at (600, 117)
[14:39:10] Yellow node spawned at (603, 309)
[14:39:10] Yellow node spawned at (299, 88)
[14:39:12] Yellow node spawned at (222, 394)
[14:39:12] Yellow node spawned at (390, 457)
[14:39:12] Yellow node spawned at (468, 209)
[14:39:14] Yellow node spawned at (307, 495)
[14:39:14] Yellow node spawned at (584, 551)
[14:39:14] Yellow node spawned at (532, 556)
[14:39:16] Yellow node spawned at (233, 43)
[14:39:16] Yellow node spawned at (759, 455)
[14:39:16] Yellow node spawned at (716, 251)
[14:39:18] Yellow node spawned at (287, 332)
[14:39:18] Yellow node spawned at (562, 242)
[14:39:18] Yellow node spawned at (507, 68)
[14:39:20] Yellow node spawned at (280, 495)
[14:39:20] Yellow node spawned at (547, 330)
[14:39:20] Yellow node spawned at (493, 502)
[14:39:22] Yellow node spawned at (624, 564)
[14:39:22] Yellow node spawned at (605, 554)
[14:39:22] Yellow node spawned at (133, 394)
[14:39:24] Yellow node spawned at (555, 325)
[14:39:24] Yellow node spawned at (339, 525)
[14:39:24] Yellow node spawned at (295, 310)
[14:39:26] Yellow node spawned at (498, 452)
[14:39:26] Yellow node spawned at (31, 556)
[14:39:26] Yellow node spawned at (189, 345)
[14:39:28] Yellow node spawned at (548, 242)
[14:39:28] Yellow node spawned at (493, 533)
[14:39:28] Yellow node spawned at (365, 210)
[14:39:30] Yellow node spawned at (392, 212)
[14:39:30] Yellow node spawned at (238, 54)
[14:39:30] Yellow node spawned at (85, 190)
[14:39:32] Yellow node spawned at (673, 333)
[14:39:32] Yellow node spawned at (86, 281)
[14:39:32] Yellow node spawned at (403, 322)
[14:39:34] Yellow node spawned at (692, 550)
