═══════════════════════════════════════════════════════════════
          NODE BONDING KEY DISCOVERY GAME - RUN LOG
═══════════════════════════════════════════════════════════════

HIGH INTENSITY GAME RULES:
───────────────────────────────────────────────────────────────
1. Multiple yellow nodes spawn every 2 seconds at random positions
2. Each node appears with a zoom animation (0 to full size)
3. Nodes remain still for 0.5 seconds after spawning
4. After the pause, nodes begin moving with HIGH random velocity
5. Nodes bounce off canvas boundaries
6. When two yellow nodes collide, they bond together
7. Bonded nodes turn green and generate a random code (1-1000)
8. Green bonded pairs remain stationary
9. Bonded pairs dissipate together after 5 seconds
10. A target key (1-1000) is randomly generated at game start
11. The game ends when a bonded pair generates the target key
───────────────────────────────────────────────────────────────

RUN STATISTICS:
───────────────────────────────────────────────────────────────
Run Date: 02/10/2025, 16:50:49
Target Key: 642
Total Time: 3604 seconds
Total Bonds Created: 614
Total Nodes Spawned: 1282
Success Rate: 1/614 (0.16%)
───────────────────────────────────────────────────────────────

DETAILED EVENT LOG:
───────────────────────────────────────────────────────────────
[15:50:45] Game started! Target key: 642
[15:50:45] Yellow node spawned at (452, 189)
[15:50:45] Yellow node spawned at (149, 194)
[15:50:45] Yellow node spawned at (252, 182)
[15:50:47] Yellow node spawned at (455, 332)
[15:50:47] Yellow node spawned at (474, 355)
[15:50:47] Yellow node spawned at (397, 509)
[15:50:47] Nodes bonded! Generated code: 195
[15:50:49] Yellow node spawned at (140, 129)
[15:50:49] Yellow node spawned at (419, 186)
[15:50:49] Yellow node spawned at (739, 54)
[15:50:51] Yellow node spawned at (346, 357)
[15:50:51] Yellow node spawned at (135, 178)
[15:50:51] Yellow node spawned at (140, 226)
[15:50:51] Nodes bonded! Generated code: 788
[15:50:52] Green node dissipated (code: 195)
[15:50:52] Green node dissipated (code: 195)
[15:50:53] Nodes bonded! Generated code: 125
[15:50:53] Yellow node spawned at (530, 461)
[15:50:53] Yellow node spawned at (657, 331)
[15:50:53] Yellow node spawned at (744, 362)
[15:50:53] Nodes bonded! Generated code: 120
[15:50:54] Nodes bonded! Generated code: 132
[15:50:55] Nodes bonded! Generated code: 20
[15:50:55] Yellow node spawned at (378, 92)
[15:50:55] Yellow node spawned at (663, 384)
[15:50:55] Yellow node spawned at (697, 120)
[15:50:57] Green node dissipated (code: 788)
[15:50:57] Green node dissipated (code: 788)
[15:50:58] Yellow node spawned at (713, 559)
[15:50:58] Yellow node spawned at (137, 419)
[15:50:58] Yellow node spawned at (394, 265)
[15:51:00] Yellow node spawned at (341, 144)
[15:51:00] Yellow node spawned at (708, 250)
[15:51:00] Yellow node spawned at (338, 483)
[15:51:02] Yellow node spawned at (117, 169)
[15:51:02] Yellow node spawned at (107, 543)
[15:51:02] Yellow node spawned at (423, 238)
[15:51:04] Yellow node spawned at (605, 346)
[15:51:04] Yellow node spawned at (102, 32)
[15:51:04] Yellow node spawned at (479, 322)
[15:51:06] Yellow node spawned at (650, 361)
[15:51:06] Yellow node spawned at (76, 534)
[15:51:06] Yellow node spawned at (347, 281)
[15:51:08] Yellow node spawned at (630, 278)
[15:51:08] Yellow node spawned at (735, 393)
[15:51:08] Yellow node spawned at (187, 119)
[15:51:10] Yellow node spawned at (673, 76)
[15:51:10] Yellow node spawned at (415, 231)
[15:51:10] Yellow node spawned at (441, 313)
[15:51:12] Yellow node spawned at (452, 371)
[15:51:12] Yellow node spawned at (489, 288)
[15:51:12] Yellow node spawned at (757, 539)
[15:51:14] Yellow node spawned at (709, 203)
[15:51:14] Yellow node spawned at (491, 317)
[15:51:14] Yellow node spawned at (36, 341)
[15:51:16] Yellow node spawned at (236, 267)
[15:51:16] Yellow node spawned at (330, 427)
[15:51:16] Yellow node spawned at (34, 80)
[15:51:18] Yellow node spawned at (114, 59)
[15:51:18] Yellow node spawned at (549, 552)
[15:51:18] Yellow node spawned at (38, 365)
[15:51:20] Yellow node spawned at (611, 527)
[15:51:20] Yellow node spawned at (688, 344)
[15:51:20] Yellow node spawned at (642, 467)
[15:51:22] Yellow node spawned at (206, 64)
[15:51:22] Yellow node spawned at (328, 418)
[15:51:22] Yellow node spawned at (459, 287)
[15:51:24] Yellow node spawned at (571, 308)
[15:51:24] Yellow node spawned at (38, 545)
[15:51:24] Yellow node spawned at (423, 490)
[15:51:26] Yellow node spawned at (406, 319)
[15:51:26] Yellow node spawned at (294, 258)
[15:51:26] Yellow node spawned at (523, 419)
[15:51:28] Yellow node spawned at (667, 317)
[15:51:28] Yellow node spawned at (413, 440)
[15:51:28] Yellow node spawned at (43, 281)
[15:51:30] Yellow node spawned at (370, 379)
[15:51:30] Yellow node spawned at (597, 244)
[15:51:30] Yellow node spawned at (413, 60)
[15:51:32] Yellow node spawned at (280, 286)
[15:51:32] Yellow node spawned at (697, 316)
[15:51:32] Yellow node spawned at (83, 545)
[15:51:34] Yellow node spawned at (690, 120)
[15:51:34] Yellow node spawned at (578, 31)
[15:51:34] Yellow node spawned at (562, 502)
[15:51:36] Yellow node spawned at (178, 356)
[15:51:36] Yellow node spawned at (257, 367)
[15:51:36] Yellow node spawned at (558, 93)
[15:51:38] Yellow node spawned at (360, 322)
[15:51:38] Yellow node spawned at (439, 104)
[15:51:38] Yellow node spawned at (165, 419)
[15:51:40] Yellow node spawned at (487, 84)
[15:51:40] Yellow node spawned at (710, 146)
[15:51:40] Yellow node spawned at (377, 253)
[15:51:42] Yellow node spawned at (480, 553)
[15:51:42] Yellow node spawned at (154, 402)
[15:51:42] Yellow node spawned at (518, 437)
[15:51:44] Yellow node spawned at (116, 239)
[15:51:44] Yellow node spawned at (738, 54)
[15:51:44] Yellow node spawned at (334, 266)
[15:51:46] Yellow node spawned at (451, 164)
[15:51:46] Yellow node spawned at (337, 333)
[15:51:46] Yellow node spawned at (100, 419)
[15:51:48] Yellow node spawned at (446, 410)
[15:51:48] Yellow node spawned at (632, 517)
[15:51:48] Yellow node spawned at (334, 375)
[15:51:50] Yellow node spawned at (34, 353)
[15:51:50] Yellow node spawned at (433, 42)
